"country_code","country_name","admin1_code","admin1_name","admin1_area","admin1_lat","admin1_lon"
"KE","Kenya","KEN20","Kirinyaga",0.119841727070333,-0.52474629,37.31986811
"KE","Kenya","KEN21","Murang'a",0.205113924561143,-0.80959054,37.03272252
"KE","Kenya","KEN22","Kiambu",0.206555253366759,-1.06870607,36.82356426
"KE","Kenya","KEN23","Turkana",5.70813651188059,3.42484919,35.43575846
"KE","Kenya","KEN24","West Pokot",0.754592815753574,1.74010617,35.24384681
"KE","Kenya","KEN25","Samburu",1.70767236004677,1.31685463,37.11839407
"KE","Kenya","KEN26","Trans Nzoia",0.20192637639347,1.05095481,34.95741997
"KE","Kenya","KEN27","Uasin Gishu",0.275892774006539,0.52608589,35.32201166
"KE","Kenya","KEN28","Elgeyo-Marakwet",0.245759083556698,0.80221881,35.53656314
"KE","Kenya","KEN29","Nandi",0.230224131882878,0.18668889,35.11048767
"KE","Kenya","KEN30","Baringo",0.884498534818652,0.66925197,35.94646535
"KE","Kenya","KEN31","Laikipia",0.774716120295415,0.32360413,36.77172785
"KE","Kenya","KEN32","Nakuru",0.607260821578831,-0.46367544,36.0784791
"KE","Kenya","KEN33","Narok",1.4535483701148,-1.25479034,35.57632921
"KE","Kenya","KEN34","Kajiado",1.77911948719632,-2.12138359,36.9088422
"KE","Kenya","KEN35","Kericho",0.209648281226504,-0.29573291,35.31407002
"KE","Kenya","KEN36","Bomet",0.192379142709552,-0.72629459,35.29859759
"KE","Kenya","KEN37","Kakamega",0.244456480298428,0.40368346,34.74451115
"KE","Kenya","KEN38","Vihiga",0.0454911068991342,0.07626579,34.72232303
"KE","Kenya","KEN39","Bungoma",0.245044326076204,0.74928524,34.64046087
"KE","Kenya","KEN40","Busia",0.14764190482833,0.38744367,34.19363148
"KE","Kenya","KEN41","Siaya",0.285837041274305,-0.06212991,34.24764171
"KE","Kenya","KEN42","Kisumu",0.216321714487552,-0.1694587,34.83520347
"KE","Kenya","KEN43","Homa Bay",0.384327237582677,-0.5428094,34.35899688
"KE","Kenya","KEN44","Migori",0.255004517891501,-0.98953684,34.36334529
"KE","Kenya","KEN45","Kisii",0.106434382012138,-0.77460376,34.77472298
"KE","Kenya","KEN46","Nyamira",0.0728233375000033,-0.64273241,34.96465956
"KE","Kenya","KEN47","Nairobi",0.0574241999755219,-1.29341347,36.86818927
"RW","Rwanda","RW5","Eastern",0.769404795178033,-1.84782823,30.45974464
"RW","Rwanda","RW1","Kigali City",0.0592366122548105,-1.93663772,30.12195521
"RW","Rwanda","RW4","Northern",0.265962733871415,-1.60808301,29.88260477
"RW","Rwanda","RW2","Southern",0.485225239477795,-2.36879194,29.68700025
"RW","Rwanda","RW3","Western",0.396038035982489,-2.11186301,29.33214182
"SA","Kingdom of Saudi Arabia","SAU06","`Asir",6.63970893724378,19.27075476,42.99448875
"SA","Kingdom of Saudi Arabia","SAU12","Al Bahah",0.891075624722377,20.10592007,41.41501575
"SA","Kingdom of Saudi Arabia","SAU05","Ash Sharqiyah",49.0148756223945,22.92352133,50.14611421
"SA","Kingdom of Saudi Arabia","SAU08","Ha'il",11.0587576476272,27.34901812,41.60781457
"SA","Kingdom of Saudi Arabia","SAU13","Al Jawf",10.9060755751049,29.67430979,38.74655712
"SA","Kingdom of Saudi Arabia","SAU10","Jizan",1.33255576719063,17.35603355,42.60762837
"SA","Kingdom of Saudi Arabia","SAU03","Al Madinah",12.8948751975789,24.88863144,39.51599587
"SA","Kingdom of Saudi Arabia","SAU02","Makkah",12.051850448263,21.62651312,41.20586401
"SA","Kingdom of Saudi Arabia","SAU11","Najran",7.5455625027201,18.28394517,45.82621928
"SA","Kingdom of Saudi Arabia","SAU09","Al Hudud ash Shamaliyah",11.739461133251,29.95098716,42.06434837
"SA","Kingdom of Saudi Arabia","SAU04","Al Qassim",4.9062932786249,25.94616273,43.21932925
"SA","Kingdom of Saudi Arabia","SAU01","Ar Riyad",33.3014297959662,23.06852784,45.55003868
"SA","Kingdom of Saudi Arabia","SAU07","Tabuk",9.07201698240185,27.38236065,37.29290303
"SD","Sudan","SD01","Khartoum",1.7905934140418,15.85117986,32.84274191
"SD","Sudan","SD16","River Nile",11.0957173825751,18.34098846,33.45778611
"SD","Sudan","SD17","Northern",31.3775357964422,19.56059372,29.32854315
"SD","Sudan","SD13","North Kordofan",15.7496059009744,14.83836263,29.74959723
"SD","Sudan","SD18","West Kordofan",8.61525813875019,11.95615161,28.41352418
"SD","Sudan","SD15","Al Gezira",2.28524010155315,14.59422123,33.27651792
"SD","Sudan","SD14","Sennar",3.27820642399923,12.908059,34.04652688
"SD","Sudan","SD09","White Nile",3.16254449794781,13.3620322,32.31817323
"SD","Sudan","SD11","Kassala",4.32206934049084,15.8179498,35.80964922
"SD","Sudan","SD10","Red Sea",18.5663637425932,19.83811806,35.70233434
"SD","Sudan","SD12","Gedaref",4.80094172845384,14.11499262,35.11359174
"SD","Sudan","SD07","South Kordofan",6.45708908319291,11.29134687,30.83617271
"SD","Sudan","SD08","Blue Nile",3.16020388073022,11.29976771,34.12767344
"SD","Sudan","SD06","Central Darfur",2.7451297533249,12.32558051,23.35891221
"SD","Sudan","SD04","Western Darfur",1.85900025264321,13.51923302,22.61675757
"SD","Sudan","SD02","North Darfur",26.7359719019127,16.22147219,25.55137076
"SD","Sudan","SD05","Eastern Darfur",4.42919126594121,10.97709393,26.46233396
"SD","Sudan","SD03","South Darfur",6.9045010860979,10.99444581,24.44488466
"SO","Somalia","SOM11","Awdal",1.31566834459723,10.57700425,43.37704977
"SO","Somalia","SOM12","Woqooyi Galbeed",2.3277908154596,9.87862624,44.55625422
"SO","Somalia","SOM13","Togdheer",2.80914679562272,9.10933746,45.72612698
"SO","Somalia","SOM14","Sool",3.06845458953699,8.96342495,47.56521712
"SO","Somalia","SOM15","Sanaag",4.44370111163345,10.30477547,47.68285206
"SO","Somalia","SOM16","Bari",5.62233169287664,10.21953145,50.04982542
"SO","Somalia","SOM17","Nugaal",2.26248968661953,8.10838538,48.91388848
"SO","Somalia","SOM18","Mudug",4.79556998033305,6.37604714,48.15455965
"SO","Somalia","SOM19","Galgaduud",3.99752472130443,5.10182642,46.77976491
"SO","Somalia","SOM20","Hiraan",2.77396202953416,4.21494253,45.47282179
"SO","Somalia","SOM21","Shabelle Dhexe",1.5187628862005,3.02763849,46.01407234
"SO","Somalia","SOM22","Banadir",0.0192252876450912,2.10778015,45.4266619
"SO","Somalia","SOM23","Shabelle Hoose",2.09544508583019,1.90353672,44.32744857
"SO","Somalia","SOM24","Bay",3.5732079329512,2.65462002,43.56737452
"SO","Somalia","SOM25","Bakool",2.10375670025588,4.20998575,43.9522378
"SO","Somalia","SOM26","Gedo",3.67988062396607,2.89720691,41.9793516
"SO","Somalia","SOM27","Juba Dhexe",1.52644109489935,1.22798731,42.53841865
"SO","Somalia","SOM28","Juba Hoose",3.8838008548196,0.09319984,41.80272002
"SS","South Sudan","SS01","Central Equatoria",3.51214633767944,4.76547443,31.1948528
"SS","South Sudan","SS02","Eastern Equatoria",5.95474516106511,4.90379504,33.59441436
"SS","South Sudan","SS03","Jonglei",9.98673951905404,7.38622681,32.33411214
"SS","South Sudan","SS04","Lakes",3.53161320695605,6.63458409,29.93664919
"SS","South Sudan","SS05","Northern Bahr el Ghazal",2.53606985479826,8.87629906,27.03567079
"SS","South Sudan","SS06","Unity",3.04694943929257,8.92606406,29.88855683
"SS","South Sudan","SS07","Upper Nile",6.36787776943343,9.90309289,32.79932151
"SS","South Sudan","SS08","Warrap",2.94198122671913,8.1376601,28.72675248
"SS","South Sudan","SS09","Western Bahr el Ghazal",7.49110213084589,8.22476438,26.21592242
"SS","South Sudan","SS10","Western Equatoria",6.44069790738136,5.54820209,28.67861576
