title,description,published date,url,publisher,Country_Search,Relevant_Term_Found
Bangladeshi migrant worker dies after forklift incident in Singapore - The Daily Star,Bangladeshi migrant worker dies after forklift incident in Singapore  The Daily Star,29/04/2024,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5uZXQvbnJiL25ld3MvYmFuZ2xhZGVzaGktbWlncmFudC13b3JrZXItZGllcy1hZnRlci1mb3JrbGlmdC1pbmNpZGVudC1zaW5nYXBvcmUtMzU5Nzk0MdIBc2h0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5uZXQvbnJiL25ld3MvYmFuZ2xhZGVzaGktbWlncmFudC13b3JrZXItZGllcy1hZnRlci1mb3JrbGlmdC1pbmNpZGVudC1zaW5nYXBvcmUtMzU5Nzk0MT9hbXA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Daily Star,Bangladesh,TRUE
Lax scrutiny by embassies leaves migrant workers vulnerable: Labour recruiters - The Business Standard,Lax scrutiny by embassies leaves migrant workers vulnerable: Labour recruiters  The Business Standard,28/04/2024,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnRic25ld3MubmV0L2JhbmdsYWRlc2gvYmFuZ2xhZGVzaC1lbWJhc3NpZXMtZmFpbHVyZXMtY3JlYXRlLW1vc3QtcHJvYmxlbXMtbWlncmFudC13b3JrZXJzLWJhaXJhLTgzODQ5NtIBdmh0dHBzOi8vd3d3LnRic25ld3MubmV0L2JhbmdsYWRlc2gvYmFuZ2xhZGVzaC1lbWJhc3NpZXMtZmFpbHVyZXMtY3JlYXRlLW1vc3QtcHJvYmxlbXMtbWlncmFudC13b3JrZXJzLWJhaXJhLTgzODQ5Nj9hbXA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Business Standard,Bangladesh,TRUE
Bangladeshi migrant worker dies after forklift incident in Sungei Kadut - The Straits Times,Bangladeshi migrant worker dies after forklift incident in Sungei Kadut  The Straits Times,28/04/2024,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnN0cmFpdHN0aW1lcy5jb20vc2luZ2Fwb3JlL2JhbmdsYWRlc2hpLW1pZ3JhbnQtd29ya2VyLWRpZXMtYWZ0ZXItZm9ya2xpZnQtaW5jaWRlbnQtaW4tc3VuZ2VpLWthZHV00gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Straits Times,Bangladesh,TRUE
'Embassies' failures create problems for migrant workers' - Bangladesh Post,'Embassies' failures create problems for migrant workers'  Bangladesh Post,28/04/2024,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYmFuZ2xhZGVzaHBvc3QubmV0L3Bvc3RzL2VtYmFzc2llcy1mYWlsdXJlcy1jcmVhdGUtcHJvYmxlbXMtZm9yLW1pZ3JhbnQtd29ya2Vycy0xMzY0NzHSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Bangladesh Post,Bangladesh,TRUE
Top destinations of Bangladeshi female migrant workers 2023 - The Business Standard,Top destinations of Bangladeshi female migrant workers 2023  The Business Standard,28/04/2024,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRic25ld3MubmV0L2luZm9ncmFwaC9udW1iZXJzL3RvcC1kZXN0aW5hdGlvbnMtYmFuZ2xhZGVzaGktZmVtYWxlLW1pZ3JhbnQtd29ya2Vycy0yMDIzLTgzODU1MdIBbWh0dHBzOi8vd3d3LnRic25ld3MubmV0L2luZm9ncmFwaC9udW1iZXJzL3RvcC1kZXN0aW5hdGlvbnMtYmFuZ2xhZGVzaGktZmVtYWxlLW1pZ3JhbnQtd29ya2Vycy0yMDIzLTgzODU1MT9hbXA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Business Standard,Bangladesh,TRUE
Kenya flood death toll hits 76 - Bangladesh Post,Kenya flood death toll hits 76  Bangladesh Post,28/04/2024,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vYmFuZ2xhZGVzaHBvc3QubmV0L3Bvc3RzL2tlbnlhLWZsb29kLWRlYXRoLXRvbGwtaGl0cy03Ni0xMzY0NjLSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Bangladesh Post,Bangladesh,TRUE
One man dead after migrant boat sinks off Greek island - Bangladesh Post,One man dead after migrant boat sinks off Greek island  Bangladesh Post,28/04/2024,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYmFuZ2xhZGVzaHBvc3QubmV0L3Bvc3RzL29uZS1tYW4tZGVhZC1hZnRlci1taWdyYW50LWJvYXQtc2lua3Mtb2ZmLWdyZWVrLWlzbGFuZC0xMzY0MDXSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Bangladesh Post,Bangladesh,TRUE
5 Rohingyas held with firearms in refugee camp - Bangladesh Post,5 Rohingyas held with firearms in refugee camp  Bangladesh Post,28/04/2024,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vYmFuZ2xhZGVzaHBvc3QubmV0L3Bvc3RzLzUtcm9oaW5neWFzLWhlbGQtd2l0aC1maXJlYXJtcy1pbi1yZWZ1Z2VlLWNhbXAtMTM2NDE50gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Bangladesh Post,Bangladesh,TRUE
"VOA Immigration Weekly Recap, April 20- 27 - Voice of America - VOA News","VOA Immigration Weekly Recap, April 20- 27  Voice of America - VOA News",28/04/2024,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2Evdm9hLWltbWlncmF0aW9uLXdlZWtseS1yZWNhcC1hcHJpbC0yMC0tMjcvNzU4Njc4Mi5odG1s0gFSaHR0cHM6Ly93d3cudm9hbmV3cy5jb20vYW1wL3ZvYS1pbW1pZ3JhdGlvbi13ZWVrbHktcmVjYXAtYXByaWwtMjAtLTI3Lzc1ODY3ODIuaHRtbA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Voice of America - VOA News,Botswana,TRUE
Where refugees in Florida are coming from - NBC Miami,Where refugees in Florida are coming from  NBC Miami,28/04/2024,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm5iY21pYW1pLmNvbS9uZXdzL2xvY2FsL3RoZXNlLWFyZS10aGUtY291bnRyaWVzLXdoZXJlLXJlZnVnZWVzLWluLWZsb3JpZGEtYXJlLWNvbWluZy1mcm9tLzMyODYzMTMv0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,NBC Miami,Belarus,TRUE
"Steady, but Evolving: An Overview of Russia's Migrant Labour Market - Observer Research Foundation","Steady, but Evolving: An Overview of Russia's Migrant Labour Market  Observer Research Foundation",28/04/2024,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvcmVzZWFyY2gvc3RlYWR5LWJ1dC1ldm9sdmluZy1hbi1vdmVydmlldy1vZi1ydXNzaWEtcy1taWdyYW50LWxhYm91ci1tYXJrZXTSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Observer Research Foundation,Belarus,TRUE
Athletes should never pay the price for a conflict of their government – ANCOA - IOL,Athletes should never pay the price for a conflict of their government – ANCOA  IOL,28/04/2024,https://news.google.com/rss/articles/CBMiogFodHRwczovL3d3dy5pb2wuY28uemEvc3VuZGF5aW5kZXBlbmRlbnQvYW5hbHlzaXMvYXRobGV0ZXMtc2hvdWxkLW5ldmVyLXBheS10aGUtcHJpY2UtZm9yLWEtY29uZmxpY3Qtb2YtdGhlaXItZ292ZXJubWVudC1hbmNvYS1lZTE2MWY2Yy0zMWFhLTQ5YTctYjJhNS1lNTY5NTJjYTUwOWLSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,IOL,Belarus,TRUE
Migrants eyeing Europe bide their time in Tunisia - Arab News,Migrants eyeing Europe bide their time in Tunisia  Arab News,28/04/2024,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI1MDA5NTEvYW1w0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Arab News,Algeria,TRUE
Migrants eyeing Europe bide their time in Tunisia - Arab News,Migrants eyeing Europe bide their time in Tunisia  Arab News,28/04/2024,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI1MDA5NTEvYW1w0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Arab News,Cameroon,TRUE
Fresh allegations amid investigations into migrant exploitation at Metrolanes Auckland bowling alley - RNZ,Fresh allegations amid investigations into migrant exploitation at Metrolanes Auckland bowling alley  RNZ,28/04/2024,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5ybnouY28ubnovbmV3cy90b3AvNTE1NDE3L2ZyZXNoLWFsbGVnYXRpb25zLWFtaWQtaW52ZXN0aWdhdGlvbnMtaW50by1taWdyYW50LWV4cGxvaXRhdGlvbi1hdC1tZXRyb2xhbmVzLWF1Y2tsYW5kLWJvd2xpbmctYWxsZXnSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,RNZ,Cameroon,TRUE
Mobilise against UK Tories' roundup of asylum seekers for deportation to Rwanda! - WSWS,Mobilise against UK Tories' roundup of asylum seekers for deportation to Rwanda!  WSWS,28/04/2024,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3Lndzd3Mub3JnL2VuL2FydGljbGVzLzIwMjQvMDQvMjgvcHNqeS1hMjguaHRtbNIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,WSWS,Albania,TRUE
